id_siniestro,nro_victimas,fecha,franja_hora,tipo_calle,Dirección Normalizada,comuna,longitud,latitud,vehiculo_victima,vehiculo_acusado,rol,sexo,edad,gravedad
2016-0142,1,2016-11-05,23,avenida,"DEL LIBERTADOR AV. y RAMOS MEJIA, JOSE MARIA, DR. AV.",1,-58.37533517,-34.59276462,moto,pasajeros,conductor,masculino,46,fatal
2016-0143,1,2016-11-06,4,avenida,27 DE FEBRERO AV. y ESCALADA AV.,8,-58.44451316,-34.68475866,moto,,conductor,masculino,35,fatal
2016-0144,1,2016-11-07,12,avenida,"BROWN, ALTE. AV. 984",4,-58.35975012,-34.63343907,peaton,pasajeros,peaton,masculino,83,fatal
2016-0145,1,2016-11-07,20,avenida,DEL LIBERTADOR AV. y LA PAMPA,13,-58.44523595,-34.55953855,moto,auto,conductor,masculino,39,fatal
2016-0146,1,2016-11-09,20,avenida,PICHINCHA AV. y BRASIL,4,-58.39626094,-34.63036565,peaton,pasajeros,peaton,femenino,29,fatal
2016-0147,1,2016-11-16,21,avenida,"INDEPENDENCIA AV. y CEVALLOS, VIRREY",1,-58.38896772,-34.61799615,movil,pasajeros,pasajero_acompañante,masculino,55,fatal
2016-0148,1,2016-11-16,22,avenida,GARMENDIA AV. 4895,15,-58.46536113,-34.59484504,moto,moto,conductor,masculino,,fatal
2016-0150,1,2016-11-18,18,avenida,"ALCORTA, AMANCIO AV. y TABORDA, DIOGENES",4,-58.40879146,-34.65273216,cargas,cargas,pasajero_acompañante,masculino,41,fatal
2016-0151,1,2016-11-18,20,calle,,10,-58.52756365,-34.62772274,peaton,,peaton,,,fatal
2016-0152,1,2016-11-23,21,avenida,"MORENO, PERITO AV. y ZUVIRIA",7,-58.46451841,-34.64991946,moto,auto,conductor,masculino,42,fatal
2016-0153,1,2016-11-25,15,avenida,ARAOZ y CORDOBA AV.,15,-58.42917090,-34.59485488,peaton,moto,peaton,femenino,83,fatal
2016-0154,1,2016-11-26,14,gral paz,"PAZ, GRAL. AV. 15200",8,-58.49007772,-34.68251141,moto,moto,conductor,masculino,38,fatal
2016-0155,1,2016-11-26,16,calle,MADERO 900,10,-58.52756365,-34.62772274,peaton,auto,peaton,femenino,29,fatal
2016-0156,1,2016-11-26,19,avenida,INDEPENDENCIA AV. y DEAN FUNES,3,-58.40638983,-34.61943202,moto,pasajeros,conductor,masculino,23,fatal
2016-0157,1,2016-12-03,6,avenida,"JUSTO, JUAN B. AV. 5645",11,-58.47576807,-34.61740997,moto,moto,conductor,masculino,23,fatal
2016-0159,1,2016-12-04,7,avenida,27 DE FEBRERO AV. y ESCALADA AV.,8,-58.44451316,-34.68475866,auto,,conductor,masculino,23,fatal
2016-0160,1,2016-12-06,5,autopista,AUTOPISTA PERITO MORENO (ALTURA VELEZ SARSFIELD),9,-58.51927194,-34.63635787,cargas,objeto fijo,conductor,masculino,29,fatal
2016-0161,1,2016-12-06,7,avenida,SANTA FE AV. y GODOY CRUZ,14,-58.42525456,-34.57866344,peaton,pasajeros,peaton,masculino,50,fatal
2016-0162,1,2016-12-07,5,avenida,"LACROZE, FEDERICO AV. y FOREST AV.",15,-58.45396573,-34.58518167,peaton,auto,peaton,masculino,38,fatal
2016-0163,1,2016-12-10,7,gral paz,"PAZ, GRAL. AV. y MOSCONI GENERAL AV.",11,-58.52340614,-34.59798754,moto,auto,conductor,masculino,23,fatal
2016-0164,1,2016-12-11,6,avenida,"LA PLATA AV. y POMAR, GREGORIO TTE. CNEL.",4,-58.42323628,-34.64119105,auto,auto,conductor,masculino,29,fatal
2016-0165,1,2016-12-12,8,avenida,"GARCIA, MARTIN AV. 300",4,-58.36926144,-34.62841919,bicicleta,pasajeros,ciclista,masculino,37,fatal
2016-0168,1,2016-12-13,10,avenida,"LA PLATA AV. y POMAR, GREGORIO TTE. CNEL.",4,-58.42323628,-34.64119105,moto,auto,conductor,masculino,43,fatal
2016-0169,1,2016-12-15,15,avenida,"NUÃ‘EZ y BALBIN, RICARDO, DR. AV.",12,-58.47935434,-34.55676497,moto,pasajeros,conductor,masculino,24,fatal
2016-0170,1,2016-12-19,17,gral paz,"PAZ, GRAL. AV. 4500",12,-58.50598256,-34.56379980,moto,auto,pasajero_acompañante,masculino,21,fatal
2016-0171,1,2016-12-25,19,autopista,"HUERGO, ING. AV. y AUTOPISTA 25 DE MAYO",1,-58.36607137,-34.62150748,moto,moto,conductor,,,fatal
2016-0172,1,2016-12-26,8,avenida,"GARAY, JUAN DE AV. y CASTRO",5,-58.41918902,-34.63174259,moto,cargas,conductor,masculino,38,fatal
2016-0173,1,2016-12-26,19,avenida,DIRECTORIO AV. y SAN PEDRITO AV.,7,-58.46749188,-34.63551751,moto,cargas,conductor,masculino,35,fatal
2016-0174,1,2016-12-27,0,autopista,AUTOPISTA 25 DE MAYO,7,-58.36952992,-34.62247256,,,,,,fatal
2016-0175,1,2016-12-27,8,calle,"FALCON, RAMON L.,CNEL. y MEMBRILLAR",7,-58.46064174,-34.62960517,peaton,bicicleta,peaton,femenino,,fatal
2016-0176,1,2016-12-28,1,avenida,BELGRANO AV. y PASEO COLON AV.,1,-58.36956186,-34.61232875,moto,pasajeros,conductor,masculino,28,fatal
2016-0177,1,2016-12-29,4,calle,ARENALES 3319,14,-58.40966671,-34.58788235,peaton,auto,peaton,femenino,27,fatal
2016-0178,1,2016-12-30,16,calle,REPUBLICA BOLIVARIANA DE VENEZUELA y SAAVEDRA,3,-58.40288226,-34.61544091,peaton,multiple,peaton,femenino,7,fatal
2017-0001,1,2017-01-02,1,avenida,"JUSTO, JUAN B. AV. y ACHUPALLAS",11,-58.46594230,-34.61028571,moto,cargas,conductor,masculino,18,fatal
2017-0003,1,2017-01-05,3,avenida,OLAVARRIA y VELEZ SARSFIELD AV.,4,-58.38957669,-34.64410277,cargas,cargas,pasajero_acompañante,masculino,33,fatal
2017-0007,1,2017-01-11,17,calle,LIMA y MEXICO,1,-58.38161660,-34.61529543,peaton,multiple,peaton,masculino,48,fatal
2017-0008,1,2017-01-16,0,calle,"CABRERA, JOSE A. y BONPLAND",14,-58.43917004,-34.58494351,moto,pasajeros,conductor,masculino,29,fatal
2017-0009,1,2017-01-16,13,autopista,AUTOPISTA 25 DE MAYO y BOEDO AV.,5,-58.41595919,-34.62743346,moto,cargas,conductor,masculino,36,fatal
2017-0010,1,2017-01-16,16,avenida,DIRECTORIO AV. y RIGLOS,6,-58.43564880,-34.62828656,moto,auto,conductor,masculino,23,fatal
2017-0011,1,2017-01-22,2,gral paz,"PAZ, GRAL. AV. y BALBIN, RICARDO, DR. AV.",12,-58.50073810,-34.54979510,moto,objeto fijo,pasajero_acompañante,femenino,29,fatal
2017-0012,1,2017-01-24,14,calle,"TRAFUL y TABORDA, DIOGENES",4,-58.40969005,-34.65055290,moto,cargas,conductor,masculino,30,fatal
2017-0013,1,2017-01-27,7,avenida,"IRIARTE, GRAL. AV. 3055",4,-58.38972622,-34.65098981,peaton,cargas,peaton,masculino,4,fatal
2017-0014,1,2017-01-28,8,avenida,DONADO y ARIAS,12,-58.49185972,-34.55046754,moto,multiple,pasajero_acompañante,femenino,22,fatal
2017-0015,1,2017-02-02,15,avenida,CORDOBA AV. y CALLAO AV.,2,-58.39293417,-34.59963642,peaton,auto,peaton,masculino,82,fatal
2017-0016,1,2017-02-03,5,autopista,AUTOPISTA 25 DE MAYO KM. 8.3,1,-58.38099494,-34.62288231,moto,cargas,conductor,masculino,27,fatal
2017-0017,1,2017-02-06,8,avenida,"JUSTO, JUAN B. AV. y PARAGUAY",14,-58.42901200,-34.58095431,moto,auto,conductor,masculino,32,fatal
2017-0018,1,2017-02-09,7,gral paz,"PAZ, GRAL. AV. y DE LOS CORRALES AV.",9,-58.50877521,-34.66977709,moto,auto,conductor,masculino,30,fatal
